"","tipo_trabalho","emprestimo","proportion","proportion_se","total","total_se","mes"
"1","Empregado",1,0.0583499850092967,0.00163534649298211,2284928.66802442,67782.1849161439,"agosto"
"2","Empregado",2,0.00934841695654283,0.000664551227079661,366074.916750142,26236.9345940765,"agosto"
"3","Empregado",3,0.93230159803416,0.00178508207585215,36508023.9224368,329331.994071409,"agosto"
"4","Empregador",1,0.111274147761538,0.00749061895429245,293423.883206611,20804.546040065,"agosto"
"5","Empregador",2,0.0339670113923548,0.00426563159341167,89569.163944772,11987.4077483987,"agosto"
"6","Empregador",3,0.854758840846108,0.00823833780566053,2253952.63258928,65268.5422309262,"agosto"
"7","Trabalhador por conta própria",1,0.0714339383366376,0.00199604453964499,1644708.01607363,48359.3773703466,"agosto"
"8","Trabalhador por conta própria",2,0.0152234263252804,0.000996429825615673,350506.94239062,23223.1796461231,"agosto"
"9","Trabalhador por conta própria",3,0.913342635338082,0.00218882092489704,21028967.3051935,186773.787860224,"agosto"
"10","Empregado",1,0.0794442163800906,0.00187310228717533,3223825.28483475,81585.9780717738,"novembro"
"11","Empregado",2,0.0111218221592328,0.00070847144904737,451320.601097347,28900.0606611397,"novembro"
"12","Empregado",3,0.909433961460677,0.0020004108696992,36904589.5778904,341879.269290384,"novembro"
"13","Empregador",1,0.152808661329558,0.0087962431920134,399367.838372209,26467.2755442433,"novembro"
"14","Empregador",2,0.030634751612994,0.00387615879518198,80064.404885827,10263.5594739214,"novembro"
"15","Empregador",3,0.816556587057448,0.00954639446490209,2134083.47566384,61184.2385100083,"novembro"
"16","Trabalhador por conta própria",1,0.0928228522331254,0.00225853213156565,2219412.60493665,57165.1318431691,"novembro"
"17","Trabalhador por conta própria",2,0.0163643825561961,0.00109307856588348,391275.596940405,26530.1014350319,"novembro"
"18","Trabalhador por conta própria",3,0.890812765210678,0.00249333038238845,21299507.9571741,191159.236845345,"novembro"
