"","tipo_trabalho","recebeu_auxilio","proportion","proportion_se","total","total_se","mes"
"1","Empregado",1,0.330447785409656,0.00349482188617442,12994612.1459662,167794.787498171,"maio"
"2","Empregado",2,0.669552214590344,0.00349482188617442,26329640.3372417,289039.981664938,"maio"
"3","Empregador",1,0.195198689969935,0.00860165798575722,532583.252812645,26530.7210127762,"maio"
"4","Empregador",2,0.804801310030065,0.00860165798575722,2195832.8697273,68449.2206690538,"maio"
"5","Trabalhador por conta própria",1,0.549272216545554,0.00406043295144324,13461844.3766766,157862.202344856,"maio"
"6","Trabalhador por conta própria",2,0.450727783454446,0.00406043295144324,11046667.0156162,134712.973681007,"maio"
"7","Empregado",1,0.386764179038763,0.00359989335944707,15145309.1257829,177658.974753091,"agosto"
"8","Empregado",2,0.613235820961237,0.00359989335944707,24013718.3814284,274557.737103949,"agosto"
"9","Empregador",1,0.204545488301607,0.00837390273853732,539375.341687369,25337.6248789449,"agosto"
"10","Empregador",2,0.795454511698393,0.00837390273853732,2097570.3380533,64184.4391487775,"agosto"
"11","Trabalhador por conta própria",1,0.616066378627006,0.00401511091314971,14184424.5880197,157286.01162991,"agosto"
"12","Trabalhador por conta própria",2,0.383933621372994,0.00401511091314971,8839757.67563795,116602.30650435,"agosto"
"13","Empregado",1,0.351124114861493,0.00349488837158388,14248523.6960482,173753.06786521,"novembro"
"14","Empregado",2,0.648875885138507,0.00349488837158388,26331211.7677743,296424.859527224,"novembro"
"15","Empregador",1,0.189705444045448,0.00877870050472322,495798.159977831,24803.5775893073,"novembro"
"16","Empregador",2,0.810294555954552,0.00877870050472322,2117717.55894404,65023.5972782838,"novembro"
"17","Trabalhador por conta própria",1,0.583502514781191,0.00417798236828893,13951659.587718,161481.756641966,"novembro"
"18","Trabalhador por conta própria",2,0.416497485218809,0.00417798236828893,9958536.57133325,126566.976790907,"novembro"
