"","tipo_trabalho","sexo","idade","idade_low","idade_upp","mes"
"1","Empregado","Masculino",36.4551092040501,36.2945768506545,36.6156415574458,"maio"
"2","Empregado","Feminino",35.2139288750454,35.033217424296,35.3946403257948,"maio"
"3","Empregador","Masculino",46.5938775317052,46.0131268297719,47.1746282336386,"maio"
"4","Empregador","Feminino",44.8816059563581,44.0831034335839,45.6801084791322,"maio"
"5","Trabalhador por conta própria","Masculino",42.5664311292337,42.3547386449085,42.7781236135588,"maio"
"6","Trabalhador por conta própria","Feminino",41.6623245125216,41.3833439811738,41.9413050438693,"maio"
"7","Empregado","Masculino",36.3969132644781,36.2474641738402,36.546362355116,"agosto"
"8","Empregado","Feminino",35.2251152484244,35.0447939878567,35.4054365089921,"agosto"
"9","Empregador","Masculino",46.7116631758838,46.1007487381064,47.3225776136612,"agosto"
"10","Empregador","Feminino",45.209160781202,44.4250018625237,45.9933196998804,"agosto"
"11","Trabalhador por conta própria","Masculino",42.6785049328939,42.4724069028885,42.8846029628994,"agosto"
"12","Trabalhador por conta própria","Feminino",41.2395516285204,40.9512912510755,41.5278120059654,"agosto"
"13","Empregado","Masculino",36.3737062655725,36.2234378642535,36.5239746668915,"novembro"
"14","Empregado","Feminino",35.1160447309546,34.9336690435339,35.2984204183754,"novembro"
"15","Empregador","Masculino",46.6476921759044,46.0618814756322,47.2335028761766,"novembro"
"16","Empregador","Feminino",45.2646791839152,44.4878536139359,46.0415047538945,"novembro"
"17","Trabalhador por conta própria","Masculino",42.8709609001096,42.6651281220768,43.0767936781425,"novembro"
"18","Trabalhador por conta própria","Feminino",41.3458706042119,41.0616142036904,41.6301270047335,"novembro"
