"","tipo_trabalho","ate_medio","prop","total","mes"
"1","Empregado","Até Médio completo",0.687225528305202,27024630.1879797,"maio"
"2","Empregado","Superior Parcial ou mais",0.312774471694798,12299622.2952282,"maio"
"3","Empregador","Até Médio completo",0.510375157621556,1392515.80859852,"maio"
"4","Empregador","Superior Parcial ou mais",0.489624842378444,1335900.31394142,"maio"
"5","Trabalhador por conta própria","Até Médio completo",0.788003442563454,19312791.3492323,"maio"
"6","Trabalhador por conta própria","Superior Parcial ou mais",0.211996557436546,5195720.04306043,"maio"
"7","Empregado","Até Médio completo",0.688907999494217,26976967.302132,"agosto"
"8","Empregado","Superior Parcial ou mais",0.311092000505783,12182060.2050794,"agosto"
"9","Empregador","Até Médio completo",0.487016203757772,1284235.27446276,"agosto"
"10","Empregador","Superior Parcial ou mais",0.512983796242228,1352710.40527791,"agosto"
"11","Trabalhador por conta própria","Até Médio completo",0.776375681230617,17875415.1897251,"agosto"
"12","Trabalhador por conta própria","Superior Parcial ou mais",0.223624318769383,5148767.07393256,"agosto"
"13","Empregado","Até Médio completo",0.687855688558979,27913001.8790088,"novembro"
"14","Empregado","Superior Parcial ou mais",0.312144311441021,12666733.5848137,"novembro"
"15","Empregador","Até Médio completo",0.499714474510367,1306011.63410563,"novembro"
"16","Empregador","Superior Parcial ou mais",0.500285525489633,1307504.08481624,"novembro"
"17","Trabalhador por conta própria","Até Médio completo",0.774630382890611,18521564.4056754,"novembro"
"18","Trabalhador por conta própria","Superior Parcial ou mais",0.225369617109389,5388631.75337576,"novembro"
