"","tipo_trabalho","funcao_trabalho","proportion","proportion_se","total","total_se","descricao","mes"
"1","Empregado","02",0.0423592148640599,0.00115203246757162,1665744.46030474,47190.8288745131,"Faxineiro, auxiliar de limpeza etc. (em empresa pública ou privada),","maio"
"2","Empregado","03",0.0637211415835881,0.00147937542264736,2505786.26015125,62260.1643333899,"Auxiliar de escritório, escriturário","maio"
"3","Empregado","04",0.0338641107486461,0.00104445797712523,1331680.84119908,41936.8113145286,"Secretária, recepcionista","maio"
"4","Empregado","05",0.0130152253047536,0.000691062191580153,511814.006009968,27478.6613800071,"Operador de Telemarketing","maio"
"5","Empregado","07",0.085471680687762,0.00170466961108745,3361109.95152968,73107.5899467565,"Balconista, vendedor de loja","maio"
"6","Empregado","08",0.0189001658847198,0.000828763075572902,743234.895225232,33409.6337527611,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)","maio"
"7","Empregado","09",0.00261475551193893,0.000275175813182019,102823.305933346,10829.5386778664,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)","maio"
"8","Empregado","10",0.0272405475444167,0.000962820073787722,1071214.16941747,39141.1307923987,"Cozinheiro e garçon (de restaurantes, empresas)","maio"
"9","Empregado","11",0.0123210558218893,0.000642700784097353,484516.309999675,25742.0408855316,"Padeiro, açougueiro e doceiro","maio"
"10","Empregado","12",0.022753707061898,0.000985282792223513,894772.521431026,38975.9429683252,"Agricultor, criador de animais, pescador, silvicultor e jardineiro","maio"
"11","Empregado","13",0.0227381528894388,0.00101343582708818,894160.865226076,40067.9895629538,"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)","maio"
"12","Empregado","14",0.0195025155402828,0.000763614095498525,766921.845163768,30710.5275501141,"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)","maio"
"13","Empregado","15",0.0254335108933239,0.000813255051832137,1000153.80390349,32694.3487017578,"Motorista de caminhão (caminhoneiro),","maio"
"14","Empregado","16",0.00319448316120206,0.000319383916557947,125620.662384466,12593.4641843853,"Motoboy,","maio"
"15","Empregado","17",0.00976151169656853,0.000515804197853135,383864.150573648,20327.4247984157,"Entregador de mercadorias (de restaurante, de farmácia, de loja, Uber Eats, IFood, Rappy etc.)","maio"
"16","Empregado","18",0.0451137759934784,0.00124708045840922,1774065.51763843,51552.7210836062,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","maio"
"17","Empregado","19",0.025006531404444,0.000902567711664088,983363.154677622,36842.183099733,"Mecânico de veículos, máquinas industriais etc.","maio"
"18","Empregado","20",0.0128704824712612,0.000760380644065633,506122.102280575,30389.0770285335,"Artesão, costureiro e sapateiro","maio"
"19","Empregado","21",0.00565395321505099,0.000535100432943841,222337.48375691,21180.1288539847,"Cabeleireiro, manicure e afins","maio"
"20","Empregado","22",0.0505476312371958,0.0015790787018633,1987747.81319958,66839.5549983848,"Operador de máquinas, montador na indústria;","maio"
"21","Empregado","23",0.0530832156984297,0.00145855054812243,2087457.77674563,61395.6539192028,"Auxiliar de produção, de carga e descarga;","maio"
"22","Empregado","24",0.0230394332206253,0.000837725633848303,906008.489037876,33322.6690031831,"Professor da educação infantil, de ensino fundamental, médio ou superior,","maio"
"23","Empregado","25",0.00478477268136411,0.000402327628686271,188157.608996718,15796.3061562413,"Pedagogo, professor de idiomas, música, arte e reforço escolar","maio"
"24","Empregado","26",0.015954184290278,0.000778137675005665,627386.371194522,31182.9908004811,"Médico, enfermeiro, profissionais de saúde de nível superior","maio"
"25","Empregado","27",0.017244678606325,0.000743424298242817,678134.095506896,30011.1827696671,"Técnico, profissional da saúde de nível médio","maio"
"26","Empregado","28",0.00441708596177209,0.000361818013516203,173698.603600759,14311.9202867788,"Cuidador de crianças, doentes ou idosos","maio"
"27","Empregado","29",0.0253852617248102,0.000917377746613763,998256.441418749,37186.6258452269,"Segurança, vigilante, outro trabalhador dos serviços de proteção","maio"
"28","Empregado","31",0.0141191259603002,0.000669556232673405,555224.074105062,26571.8611133889,"Porteiro, zelador","maio"
"29","Empregado","32",0.00174381989616073,0.000227817079899854,68574.413881866,8948.29930726206,"Artista, religioso (padre, pastor etc.)","maio"
"30","Empregado","33",0.0332317255020877,0.00158614401629942,1306812.76409676,64756.6668530675,"Diretor, gerente, cargo político ou comissionado","maio"
"31","Empregado","34",0.059608727077396,0.00170639671194692,2344068.63379415,68611.7684250423,"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)","maio"
"32","Empregado","35",0.0465459091599201,0.00128276099664943,1830383.08386516,53152.0159354756,"Outro técnico ou profissional de nível médio","maio"
"33","Empregado","36",0.158757906704612,0.00259625845166944,6243036.00695773,118013.733675476,"Outros","maio"
"34","Empregador","06",0.267667190862555,0.0102756654632779,730307.479024371,31564.1078976282,"Comerciante (dono do bar, da loja etc.)","maio"
"35","Empregador","08",0.0142188058731053,0.00277893810318518,38794.819187446,7699.15197585349,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)","maio"
"36","Empregador","09",0.0109557802989791,0.0031906442813341,29891.92760274,8741.23986237178,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)","maio"
"37","Empregador","10",0.00936176991964322,0.00184056325891159,25542.803984264,5024.06737280451,"Cozinheiro e garçon (de restaurantes, empresas)","maio"
"38","Empregador","11",0.007566950917553,0.00164874635738114,20645.79088192,4491.952236969,"Padeiro, açougueiro e doceiro","maio"
"39","Empregador","12",0.0528118468436274,0.00397860288370224,144092.694389263,11195.6054508782,"Agricultor, criador de animais, pescador, silvicultor e jardineiro","maio"
"40","Empregador","13",0.000373953363879913,0.000233431626753921,1020.300387088,636.32043863193,"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)","maio"
"41","Empregador","14",0.00313079926269346,0.000765323752497511,8542.123184769,2081.45063125625,"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)","maio"
"42","Empregador","15",0.00412368240925291,0.00102923645559658,11251.12156964,2805.81803624429,"Motorista de caminhão (caminhoneiro),","maio"
"43","Empregador","16",0.000768106706593221,0.000547397641561436,2095.7147221,1493.28392644854,"Motoboy,","maio"
"44","Empregador","17",0.00259212855123329,0.000869737261298018,7072.405330881,2375.11695860478,"Entregador de mercadorias (de restaurante, de farmácia, de loja, Uber Eats, IFood, Rappy etc.)","maio"
"45","Empregador","18",0.0346986721725458,0.00357687719275862,94672.416586302,9754.06748299392,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","maio"
"46","Empregador","19",0.0389822885897809,0.00390583967844628,106359.904681863,10759.1730257268,"Mecânico de veículos, máquinas industriais etc.","maio"
"47","Empregador","20",0.0100093172402727,0.00163238187655935,27309.582533977,4453.40145952402,"Artesão, costureiro e sapateiro","maio"
"48","Empregador","21",0.0159388573970844,0.00268142675011414,43487.83549707,7397.50109097035,"Cabeleireiro, manicure e afins","maio"
"49","Empregador","23",0.00217079795083688,0.000834203794909578,5922.84012784,2274.74247103317,"Auxiliar de produção, de carga e descarga;","maio"
"50","Empregador","25",0.0017827037743759,0.000902735177273644,4863.95771972,2463.98931571128,"Pedagogo, professor de idiomas, música, arte e reforço escolar","maio"
"51","Empregador","26",0.03494174236789,0.00402008401063452,95335.613226188,11308.1183543947,"Médico, enfermeiro, profissionais de saúde de nível superior","maio"
"52","Empregador","27",0.00100135157152151,0.000528161455290978,2732.10377207,1441.32070184998,"Técnico, profissional da saúde de nível médio","maio"
"53","Empregador","28",0.000835436529673502,0.000486464868312523,2279.41849692,1327.07910797151,"Cuidador de crianças, doentes ou idosos","maio"
"54","Empregador","29",0.000681906403169176,0.000367917308521345,1860.52442447,1003.88058975769,"Segurança, vigilante, outro trabalhador dos serviços de proteção","maio"
"55","Empregador","32",0.00154121556366387,0.000849817263891517,4205.07739221,2321.00620614546,"Artista, religioso (padre, pastor etc.)","maio"
"56","Empregador","33",0.239033480977254,0.0128378492998733,652182.803325183,43620.515679196,"Diretor, gerente, cargo político ou comissionado","maio"
"57","Empregador","34",0.0958135596260548,0.00716688162956833,261419.26084167,21575.1706714989,"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)","maio"
"58","Empregador","35",0.0128647541185522,0.00265182278672078,35100.40254957,7339.04164669246,"Outro técnico ou profissional de nível médio","maio"
"59","Empregador","36",0.136132900708209,0.00841204210405892,371427.201100406,24840.1992687661,"Outros","maio"
"60","Trabalhador por conta própria","06",0.0750390513193625,0.00204928250450801,1839095.44412744,52858.8215185626,"Comerciante (dono do bar, da loja etc.)","maio"
"61","Trabalhador por conta própria","08",0.0568632479918975,0.0016554378285948,1393633.56121219,42147.0809100467,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)","maio"
"62","Trabalhador por conta própria","09",0.0448172882893028,0.00162599574407693,1098405.02061005,41333.0574304488,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)","maio"
"63","Trabalhador por conta própria","10",0.0106878713084181,0.000729581599668941,261943.815721723,18008.4459782202,"Cozinheiro e garçon (de restaurantes, empresas)","maio"
"64","Trabalhador por conta própria","11",0.0154595482941494,0.000946711622893838,378890.515486861,23485.9706886313,"Padeiro, açougueiro e doceiro","maio"
"65","Trabalhador por conta própria","12",0.169399907220939,0.00328081690826982,4151739.55597773,88939.0683870613,"Agricultor, criador de animais, pescador, silvicultor e jardineiro","maio"
"66","Trabalhador por conta própria","13",0.0154740271185932,0.000859556416674584,379245.369920689,21276.9371775294,"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)","maio"
"67","Trabalhador por conta própria","14",0.0458988525557171,0.00145437868109095,1124912.55075496,36653.6078194858,"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)","maio"
"68","Trabalhador por conta própria","15",0.0175053444076472,0.000902064937548996,429029.932840829,22213.6117625759,"Motorista de caminhão (caminhoneiro),","maio"
"69","Trabalhador por conta própria","16",0.00580530143053579,0.000604568658341431,142279.29624598,14921.2313053207,"Motoboy,","maio"
"70","Trabalhador por conta própria","17",0.0090410553917358,0.00067870325188504,221582.809066707,16688.3785490171,"Entregador de mercadorias (de restaurante, de farmácia, de loja, Uber Eats, IFood, Rappy etc.)","maio"
"71","Trabalhador por conta própria","18",0.145939719628225,0.00264383204678151,3576765.28109636,70127.000858929,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","maio"
"72","Trabalhador por conta própria","19",0.0281849291211887,0.00109815949722905,690770.656457617,27149.2972897249,"Mecânico de veículos, máquinas industriais etc.","maio"
"73","Trabalhador por conta própria","20",0.0476412353813714,0.00149009398001724,1167615.76008724,37613.6473639925,"Artesão, costureiro e sapateiro","maio"
"74","Trabalhador por conta própria","21",0.061769454790179,0.0017349683044261,1513877.38642082,43863.6992314926,"Cabeleireiro, manicure e afins","maio"
"75","Trabalhador por conta própria","23",0.00482637622078699,0.000475497123038833,118287.296590649,11687.3754739816,"Auxiliar de produção, de carga e descarga;","maio"
"76","Trabalhador por conta própria","25",0.00625037769804322,0.000500396680614875,153187.453018625,12312.5472766764,"Pedagogo, professor de idiomas, música, arte e reforço escolar","maio"
"77","Trabalhador por conta própria","26",0.015505841188499,0.000947845541337519,380025.085415411,23584.8962426981,"Médico, enfermeiro, profissionais de saúde de nível superior","maio"
"78","Trabalhador por conta própria","27",0.00236874173064784,0.00031471251107165,58054.333690982,7727.53255138893,"Técnico, profissional da saúde de nível médio","maio"
"79","Trabalhador por conta própria","28",0.0051689974805892,0.00046180992922069,126684.433639753,11374.5834787668,"Cuidador de crianças, doentes ou idosos","maio"
"80","Trabalhador por conta própria","29",0.00249058128891278,0.000308462897507429,61040.43989275,7563.72443658417,"Segurança, vigilante, outro trabalhador dos serviços de proteção","maio"
