"","tipo_trabalho","sexo","renda","renda_se","mes"
"1","Empregado","Masculino",2241.32874641665,33.7618329417815,"maio"
"2","Empregado","Feminino",1994.94296137771,52.9536222197125,"maio"
"3","Empregador","Masculino",6307.75423186125,247.559046815808,"maio"
"4","Empregador","Feminino",5017.3247417898,220.915827354695,"maio"
"5","Trabalhador por conta própria","Masculino",1923.940844311,26.3109873546273,"maio"
"6","Trabalhador por conta própria","Feminino",1660.07060783848,30.9897407541114,"maio"
"7","Empregado","Masculino",2242.34881826578,37.232857488441,"agosto"
"8","Empregado","Feminino",1997.52158422003,37.9850337472018,"agosto"
"9","Empregador","Masculino",6254.28291815881,227.093108915919,"agosto"
"10","Empregador","Feminino",5288.63663012829,229.954971190203,"agosto"
"11","Trabalhador por conta própria","Masculino",2015.9420571348,23.6117071499664,"agosto"
"12","Trabalhador por conta própria","Feminino",1798.39806535534,30.7915388784434,"agosto"
"13","Empregado","Masculino",2208.48475871026,36.8840893084717,"novembro"
"14","Empregado","Feminino",1955.4023460444,31.5239908564743,"novembro"
"15","Empregador","Masculino",6094.07555197065,180.977895745458,"novembro"
"16","Empregador","Feminino",4905.81119312062,194.096286993167,"novembro"
"17","Trabalhador por conta própria","Masculino",1971.58265807456,21.1433452058023,"novembro"
"18","Trabalhador por conta própria","Feminino",1770.85791475039,29.313988648692,"novembro"
